epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,256.112,1.40135,1.0593,1.09787,0.72339,0.6935,0.64424,0.40499,1.96678,2.4952,1.29196,0.000157497,0.000157497,0.000157497
43,261.672,1.36345,0.99266,1.10648,0.72512,0.69611,0.64539,0.40643,1.95563,2.53419,1.29998,0.000155533,0.000155533,0.000155533
44,266.78,1.42172,1.08691,1.09813,0.72039,0.6982,0.64589,0.4068,1.93571,2.55129,1.29993,0.00015357,0.00015357,0.00015357
45,274.011,1.41346,1.03441,1.14063,0.72153,0.6911,0.64939,0.40908,1.87769,2.56595,1.29272,0.000151606,0.000151606,0.000151606
46,280.055,1.4379,1.09054,1.11496,0.71842,0.69964,0.65044,0.41021,1.85307,2.53825,1.28752,0.000149643,0.000149643,0.000149643
47,288.487,1.38756,1.06238,1.10047,0.7091,0.70849,0.65476,0.41168,1.81234,2.52421,1.27705,0.000147679,0.000147679,0.000147679
48,293.313,1.39584,1.06209,1.06238,0.70444,0.71216,0.65563,0.41331,1.80404,2.5232,1.27176,0.000145716,0.000145716,0.000145716
49,298.773,1.39832,0.99335,1.11585,0.69983,0.71881,0.65624,0.41211,1.77308,2.49825,1.26454,0.000143752,0.000143752,0.000143752
50,306.189,1.3952,1.01404,1.09976,0.70034,0.72381,0.65708,0.41098,1.77202,2.49409,1.26326,0.000141789,0.000141789,0.000141789
51,310.951,1.38688,0.98632,1.10879,0.70062,0.72355,0.65693,0.41116,1.73974,2.49746,1.25802,0.000139825,0.000139825,0.000139825
52,317.111,1.40926,1.05296,1.1021,0.70016,0.72211,0.65672,0.4117,1.72721,2.49645,1.25317,0.000137861,0.000137861,0.000137861
53,322.645,1.41014,0.97887,1.11515,0.6992,0.71786,0.65854,0.41087,1.68808,2.50435,1.24302,0.000135898,0.000135898,0.000135898
54,327.288,1.36511,0.99998,1.0751,0.69979,0.71754,0.65828,0.41116,1.67924,2.49806,1.24047,0.000133935,0.000133935,0.000133935
55,333.969,1.40639,1.00792,1.11085,0.69968,0.71999,0.65801,0.41275,1.65837,2.47175,1.23304,0.000131971,0.000131971,0.000131971
56,339.69,1.41005,1.0106,1.10407,0.70091,0.72381,0.65949,0.41347,1.63939,2.45486,1.23024,0.000130008,0.000130008,0.000130008
57,344.397,1.39661,1.01105,1.1114,0.70237,0.72477,0.66303,0.41571,1.63196,2.42597,1.22771,0.000128044,0.000128044,0.000128044
58,351.289,1.36944,0.94579,1.10018,0.70446,0.72149,0.66469,0.41658,1.64499,2.41987,1.22784,0.000126081,0.000126081,0.000126081
59,356.663,1.38685,0.99858,1.07861,0.70594,0.72077,0.66664,0.41923,1.63918,2.41957,1.22603,0.000124117,0.000124117,0.000124117
60,363.224,1.38171,0.97312,1.11395,0.7331,0.69071,0.66609,0.4187,1.65017,2.406,1.22643,0.000122154,0.000122154,0.000122154
61,369.251,1.40108,1.04441,1.081,0.73073,0.69477,0.66663,0.41835,1.6416,2.39361,1.22139,0.00012019,0.00012019,0.00012019
62,374.437,1.36774,0.96514,1.09028,0.73523,0.69054,0.66688,0.41888,1.63006,2.40296,1.21942,0.000118227,0.000118227,0.000118227
63,381.661,1.37258,1.02171,1.07874,0.68487,0.74643,0.66728,0.42031,1.62199,2.37121,1.21576,0.000116263,0.000116263,0.000116263
64,386.849,1.42325,1.07983,1.08767,0.68657,0.74586,0.6695,0.42179,1.61504,2.36072,1.21377,0.0001143,0.0001143,0.0001143
65,391.59,1.38623,1.00445,1.10015,0.68983,0.74295,0.66947,0.42072,1.61889,2.34967,1.214,0.000112336,0.000112336,0.000112336
66,399.764,1.34699,0.95196,1.06684,0.69338,0.73973,0.67013,0.42121,1.61512,2.34579,1.21211,0.000110373,0.000110373,0.000110373
67,404.519,1.37114,0.97144,1.0953,0.69471,0.73955,0.67152,0.42314,1.63638,2.33185,1.2163,0.000108409,0.000108409,0.000108409
68,411.391,1.40033,0.97889,1.10357,0.74271,0.69112,0.67196,0.42322,1.6342,2.34616,1.21611,0.000106445,0.000106445,0.000106445
69,416.958,1.42679,1.00883,1.10238,0.74682,0.68957,0.67159,0.42443,1.64056,2.31193,1.21442,0.000104482,0.000104482,0.000104482
70,422.046,1.38278,0.93588,1.09638,0.75048,0.69002,0.67248,0.42449,1.6462,2.29761,1.21381,0.000102519,0.000102519,0.000102519
71,428.874,1.40872,0.99087,1.08086,0.75441,0.68989,0.67263,0.42492,1.65861,2.28659,1.21585,0.000100555,0.000100555,0.000100555
72,434.882,1.37202,0.9068,1.10193,0.75282,0.69087,0.67221,0.42474,1.65427,2.29092,1.21542,9.85915e-05,9.85915e-05,9.85915e-05
73,441.019,1.40308,1.0034,1.12336,0.75497,0.69006,0.67172,0.42501,1.65736,2.28007,1.21532,9.6628e-05,9.6628e-05,9.6628e-05
74,447.106,1.40467,1.02217,1.07634,0.75328,0.69375,0.67287,0.42593,1.65758,2.26354,1.21461,9.46645e-05,9.46645e-05,9.46645e-05
75,452.268,1.43817,1.00913,1.12634,0.74487,0.69887,0.67395,0.42792,1.66483,2.24246,1.215,9.2701e-05,9.2701e-05,9.2701e-05
76,459.074,1.38545,0.96171,1.09029,0.74996,0.69723,0.67405,0.42739,1.6659,2.23606,1.21603,9.07375e-05,9.07375e-05,9.07375e-05
77,464.618,1.39903,0.98412,1.10109,0.75067,0.69706,0.67407,0.42822,1.66477,2.24261,1.2167,8.8774e-05,8.8774e-05,8.8774e-05
78,469.51,1.3788,0.91339,1.1103,0.74973,0.69708,0.67458,0.42805,1.65722,2.22842,1.21616,8.68105e-05,8.68105e-05,8.68105e-05
79,476.869,1.40755,1.00249,1.10084,0.75042,0.6977,0.67409,0.42772,1.66609,2.23005,1.21648,8.4847e-05,8.4847e-05,8.4847e-05
80,482.058,1.34394,0.89533,1.08987,0.75141,0.69803,0.67518,0.42809,1.67237,2.23433,1.21765,8.28835e-05,8.28835e-05,8.28835e-05
81,488.493,1.42026,0.9583,1.13646,0.72062,0.7246,0.67466,0.42742,1.66961,2.25106,1.21818,8.092e-05,8.092e-05,8.092e-05
82,494.651,1.40931,1.01931,1.08946,0.7074,0.73325,0.67483,0.42793,1.67344,2.23267,1.21781,7.89565e-05,7.89565e-05,7.89565e-05
