epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,261.693,0.52438,0.66188,0.80097,0.89341,0.82104,0.79456,0.71897,0.40149,0.51437,0.78533,0.000157497,0.000157497,0.000157497
43,267.249,0.48031,0.58361,0.79636,0.89435,0.81961,0.7939,0.7195,0.40034,0.51371,0.78518,0.000155533,0.000155533,0.000155533
44,273.948,0.56839,0.71952,0.80317,0.89273,0.82149,0.79695,0.7224,0.39993,0.51281,0.78502,0.00015357,0.00015357,0.00015357
45,280.327,0.47613,0.58517,0.79827,0.89147,0.82431,0.79879,0.72423,0.39898,0.51266,0.785,0.000151606,0.000151606,0.000151606
46,285.704,0.59853,0.73429,0.81271,0.89228,0.82355,0.79844,0.72409,0.39775,0.51269,0.78473,0.000149643,0.000149643,0.000149643
47,293.684,0.53924,0.68152,0.80278,0.8931,0.8252,0.80052,0.72537,0.39727,0.50883,0.78437,0.000147679,0.000147679,0.000147679
48,298.701,0.54911,0.69016,0.80094,0.89465,0.82658,0.80183,0.72629,0.39718,0.5042,0.78403,0.000145716,0.000145716,0.000145716
49,305.514,0.51903,0.65212,0.7983,0.89278,0.8279,0.80346,0.72773,0.39704,0.50308,0.78385,0.000143752,0.000143752,0.000143752
50,312.089,0.49552,0.61807,0.79702,0.89433,0.82553,0.80224,0.72652,0.39601,0.50381,0.78377,0.000141789,0.000141789,0.000141789
51,318.067,0.5105,0.62587,0.79872,0.89559,0.82646,0.80219,0.72693,0.39551,0.5028,0.78363,0.000139825,0.000139825,0.000139825
52,324.65,0.50749,0.62703,0.79827,0.89443,0.8281,0.80336,0.72829,0.39528,0.50133,0.78351,0.000137861,0.000137861,0.000137861
53,329.954,0.4342,0.51814,0.79056,0.89689,0.82657,0.80271,0.72785,0.39392,0.50285,0.78344,0.000135898,0.000135898,0.000135898
54,336.845,0.50254,0.61536,0.79785,0.89839,0.82496,0.80188,0.72659,0.39337,0.50529,0.78341,0.000133935,0.000133935,0.000133935
55,341.913,0.49106,0.60184,0.79914,0.90017,0.82645,0.80279,0.72752,0.39372,0.50101,0.78296,0.000131971,0.000131971,0.000131971
56,348.804,0.50646,0.62783,0.79624,0.9,0.82697,0.80365,0.72896,0.39349,0.49851,0.78303,0.000130008,0.000130008,0.000130008
57,354.752,0.46853,0.57002,0.79381,0.90023,0.8273,0.8042,0.72939,0.39264,0.49696,0.78285,0.000128044,0.000128044,0.000128044
58,359.886,0.5652,0.70407,0.80113,0.89666,0.82757,0.80364,0.72829,0.39215,0.49602,0.78279,0.000126081,0.000126081,0.000126081
59,366.565,0.52296,0.6427,0.80111,0.89518,0.8296,0.80419,0.72823,0.39131,0.49265,0.7827,0.000124117,0.000124117,0.000124117
60,371.761,0.48118,0.59315,0.79805,0.89557,0.82933,0.804,0.72809,0.39106,0.49271,0.78272,0.000122154,0.000122154,0.000122154
61,378.278,0.51959,0.63518,0.79868,0.89484,0.8291,0.80329,0.72802,0.39094,0.49172,0.78247,0.00012019,0.00012019,0.00012019
62,384.592,0.50197,0.61899,0.79797,0.89766,0.82724,0.8027,0.72752,0.39121,0.4923,0.78239,0.000118227,0.000118227,0.000118227
63,390.058,0.47432,0.5824,0.7936,0.89657,0.83004,0.80469,0.73025,0.3908,0.49062,0.78241,0.000116263,0.000116263,0.000116263
64,398.58,0.51329,0.62735,0.79656,0.89734,0.82924,0.80529,0.73086,0.39072,0.49042,0.78232,0.0001143,0.0001143,0.0001143
65,403.88,0.55256,0.69133,0.79815,0.89675,0.83144,0.8067,0.73116,0.39035,0.49081,0.7822,0.000112336,0.000112336,0.000112336
66,410.47,0.49623,0.59993,0.7985,0.8986,0.83002,0.80602,0.73164,0.38983,0.48847,0.7819,0.000110373,0.000110373,0.000110373
67,416.94,0.45789,0.5548,0.79336,0.8969,0.82898,0.80553,0.7307,0.3892,0.48891,0.78203,0.000108409,0.000108409,0.000108409
68,422.232,0.51351,0.63726,0.79656,0.89663,0.83085,0.80623,0.73154,0.38941,0.48666,0.78184,0.000106445,0.000106445,0.000106445
69,429.259,0.46996,0.55928,0.79796,0.89549,0.82937,0.80499,0.73015,0.38958,0.48639,0.7818,0.000104482,0.000104482,0.000104482
