epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3132.37,0.31772,0.33492,0.80266,0.98513,0.98765,0.99301,0.98124,0.20723,0.16093,0.77352,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3228.44,0.31823,0.33593,0.80134,0.98953,0.98583,0.99318,0.98167,0.20658,0.15704,0.7743,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3325.9,0.31682,0.33322,0.80318,0.98355,0.98771,0.99262,0.98145,0.20428,0.15841,0.77418,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3421.34,0.31396,0.33296,0.80198,0.98213,0.99112,0.99297,0.98184,0.20373,0.15498,0.77388,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3516.54,0.31309,0.32774,0.80124,0.98064,0.9912,0.99283,0.98219,0.20234,0.15389,0.77407,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3612.65,0.31155,0.32701,0.80164,0.97858,0.99286,0.99256,0.98185,0.2029,0.1546,0.77302,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3708.26,0.30854,0.32224,0.80082,0.98109,0.99223,0.99281,0.9823,0.20144,0.15306,0.77302,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3803.92,0.30891,0.32476,0.80175,0.97885,0.99207,0.99232,0.98187,0.20066,0.1516,0.77258,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3897.83,0.30931,0.32155,0.80184,0.98078,0.99187,0.99266,0.98262,0.20028,0.15023,0.77259,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3993.52,0.30625,0.31669,0.80007,0.98676,0.98864,0.99319,0.98284,0.19954,0.14793,0.77385,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4087.31,0.30471,0.31501,0.80004,0.98091,0.99321,0.99299,0.98292,0.19905,0.14803,0.77311,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4181.25,0.30478,0.31475,0.80051,0.9838,0.99222,0.99317,0.98318,0.1988,0.14705,0.77163,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4276.81,0.30387,0.31468,0.80064,0.98465,0.9899,0.99319,0.98332,0.19865,0.14727,0.77164,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4371.63,0.30266,0.31036,0.79938,0.98803,0.98909,0.99341,0.98354,0.19768,0.14382,0.77224,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
